file,param_name,layer_type,depth,rows,cols,dtype
block010.self_attn.q_proj.safetensors,model.layers.10.self_attn.q_proj.weight,self_attn.q_proj,10,576,576,torch.float32
block010.self_attn.k_proj.safetensors,model.layers.10.self_attn.k_proj.weight,self_attn.k_proj,10,192,576,torch.float32
block010.self_attn.v_proj.safetensors,model.layers.10.self_attn.v_proj.weight,self_attn.v_proj,10,192,576,torch.float32
block010.self_attn.o_proj.safetensors,model.layers.10.self_attn.o_proj.weight,self_attn.o_proj,10,576,576,torch.float32
block015.self_attn.q_proj.safetensors,model.layers.15.self_attn.q_proj.weight,self_attn.q_proj,15,576,576,torch.float32
block015.self_attn.k_proj.safetensors,model.layers.15.self_attn.k_proj.weight,self_attn.k_proj,15,192,576,torch.float32
block015.self_attn.v_proj.safetensors,model.layers.15.self_attn.v_proj.weight,self_attn.v_proj,15,192,576,torch.float32
block015.self_attn.o_proj.safetensors,model.layers.15.self_attn.o_proj.weight,self_attn.o_proj,15,576,576,torch.float32
block020.self_attn.q_proj.safetensors,model.layers.20.self_attn.q_proj.weight,self_attn.q_proj,20,576,576,torch.float32
block020.self_attn.k_proj.safetensors,model.layers.20.self_attn.k_proj.weight,self_attn.k_proj,20,192,576,torch.float32
block020.self_attn.v_proj.safetensors,model.layers.20.self_attn.v_proj.weight,self_attn.v_proj,20,192,576,torch.float32
block020.self_attn.o_proj.safetensors,model.layers.20.self_attn.o_proj.weight,self_attn.o_proj,20,576,576,torch.float32
